ID,品类,商品名,品牌,店铺名,经济体,省份,地级市,原价,快递费,是否天猫,活动价1,月销量1,累计评价1,信誉1,活动价2,月销量2,累计评价2,信誉2,活动价3,月销量3,累计评价3,信誉3,活动价4,月销量4,累计评价4,信誉4,活动价5,月销量5,累计评价5,信誉5,活动价6,月销量6,累计评价6,信誉6
564316918480,肉,猪肉脯,飘零大叔,9aeae9150dc2b0e2,中国大陆,江苏,泰州,80.0,5.0,1,80.0,39.0,266.0,-1.0,80.0,12.0,268.0,-1.0,80.0,51.0,279.0,-1.0,80.0,21.0,283.0,-1.0,80.0,35.0,291.0,-1.0,80.0,37.0,299.0,-1.0
559354849807,肉,猪肉,小川贵,fc7064dc004b88f3,中国大陆,湖南,益阳,30.0,0.0,1,27.8,95.0,95.0,-1.0,27.8,66.0,110.0,-1.0,27.8,49.0,119.0,-1.0,27.8,33.0,125.0,-1.0,27.8,34.0,133.0,-1.0,27.8,57.0,141.0,-1.0
538149145013,肉,猪肉,BLACKFLAG FOOD/黑旗食品,5335c24e93689f41,中国大陆,湖北,武汉,96.0,0.0,0,72.0,106.0,26.0,39884.0,73.0,176.0,34.0,41477.0,76.0,399.0,49.0,42400.0,76.0,248.0,51.0,42760.0,76.0,632.0,81.0,43452.0,76.0,561.0,104.0,44189.0
533854216456,肉,牛肉,金太和贡,cbfc61627f364028,中国大陆,湖南,郴州,9.9,8.0,0,8.8,156.0,1010.0,85083.0,8.8,176.0,878.0,90471.0,8.8,86.0,769.0,93454.0,8.8,169.0,646.0,95968.0,8.8,118.0,644.0,100764.0,8.8,81.0,548.0,105694.0
563251204272,肉,牛肉,燎胃,53d1db94a05775ca,中国大陆,四川,乐山,48.0,6.0,0,26.98,503.0,797.0,129815.0,26.98,156.0,830.0,131070.0,26.98,162.0,812.0,132187.0,26.98,150.0,687.0,133490.0,26.8,76.0,623.0,134628.0,26.9,102.0,530.0,135524.0
567735732852,肉,凤爪,other/其他,4117ce7834f49aa1,中国大陆,山东,济南,19.0,0.0,0,9.9,3.0,40.0,353.0,14.9,0.0,16.0,392.0,14.9,0.0,16.0,405.0,19.0,0.0,14.0,411.0,19.0,0.0,10.0,414.0,19.0,0.0,5.0,418.0
557024977181,肉,香肠,奥锦奇,200e862de10c93f1,中国大陆,辽宁,抚顺,37.8,0.0,1,18.9,113.0,146.0,-1.0,18.9,123.0,180.0,-1.0,18.9,184.0,231.0,-1.0,18.9,98.0,255.0,-1.0,18.9,160.0,300.0,-1.0,18.9,91.0,320.0,-1.0
559216553441,肉,驴肉,老师傅,eddad72debd32f61,中国大陆,河南,郑州,28.9,0.0,0,18.9,273.0,229.0,14605.0,18.9,250.0,253.0,15774.0,18.9,144.0,265.0,16592.0,28.9,87.0,244.0,17059.0,28.9,20.0,202.0,17391.0,28.9,11.0,157.0,17680.0
537803373934,肉,驴肉,other/其他,1c30ffe7361f49a9,中国大陆,河北,石家庄,30.0,0.0,0,30.0,102.0,39.0,6922.0,30.0,115.0,45.0,7617.0,90.0,103.0,53.0,8606.0,90.0,14.0,64.0,10092.0,90.0,20.0,59.0,10627.0,90.0,21.0,60.0,11069.0
559699319426,肉,牛肉干,李铁,32c10284647d67f5,中国大陆,山东,淄博,58.0,0.0,0,39.9,66.0,124.0,8298.0,39.9,43.0,152.0,8420.0,39.9,71.0,169.0,8538.0,39.9,21.0,186.0,8733.0,39.9,56.0,189.0,8865.0,39.9,47.0,191.0,8962.0
551161522967,肉,其他,宏香记,9aeae9150dc2b0e2,中国大陆,福建,漳州,59.7,5.0,1,59.7,18.0,513.0,-1.0,59.7,26.0,523.0,-1.0,59.7,7.0,523.0,-1.0,59.7,13.0,525.0,-1.0,59.7,85.0,542.0,-1.0,59.7,58.0,554.0,-1.0
574202745943,肉,猪肉脯,肥啾,7d6cc2d3077e7049,中国大陆,江苏,泰州,51.6,0.0,1,25.8,86.0,34.0,-1.0,25.8,36.0,38.0,-1.0,25.8,45.0,46.0,-1.0,26.3,71.0,52.0,-1.0,26.3,64.0,56.0,-1.0,26.3,75.0,69.0,-1.0
520274873240,肉,肉松,丰仓,f87dbd00ca10546b,中国大陆,中国大陆,太仓,26.0,5.0,0,16.0,37.0,98.0,792499.0,16.0,27.0,124.0,816526.0,16.0,22.0,137.0,833861.0,16.0,14.0,136.0,842801.0,16.0,25.0,141.0,854104.0,16.0,11.0,139.0,865717.0
566832911756,肉,其他,全家福,9d56d53983642dac,中国大陆,福建,漳州,13.8,5.0,0,13.8,18.0,224.0,232707.0,13.8,8.0,207.0,248012.0,13.8,24.0,175.0,263945.0,13.8,1.0,120.0,272176.0,13.8,9.0,91.0,284216.0,13.8,7.0,81.0,304922.0
577279778159,肉,鸭脖,食为先,c208dda51e817ffb,中国大陆,湖南,岳阳,39.9,0.0,1,19.99,273.0,357.0,-1.0,19.99,37.0,393.0,-1.0,19.99,337.0,445.0,-1.0,19.99,138.0,479.0,-1.0,19.99,358.0,592.0,-1.0,19.99,45.0,602.0,-1.0
523793752126,肉,牛肉,鑫恰巧,59e63285eeeb68c9,中国大陆,安徽,合肥,30.0,0.0,0,22.3,124.0,617.0,193368.0,22.3,69.0,572.0,198537.0,21.8,116.0,595.0,202845.0,21.8,84.0,585.0,205869.0,15.3,110.0,532.0,209709.0,15.3,77.0,459.0,215318.0
531123090203,肉,牛肉,蜀道香,45277dcd46503afe,中国大陆,四川,达州,12.8,6.0,1,12.8,51.0,239.0,-1.0,12.8,47.0,240.0,-1.0,12.8,80.0,249.0,-1.0,12.8,49.0,255.0,-1.0,12.8,60.0,249.0,-1.0,12.8,43.0,247.0,-1.0
39401319454,肉,腌肉,达昇义,abf5d96e88ae0b5d,中国大陆,四川,成都,42.0,0.0,0,25.8,502.0,199.0,137414.0,26.8,644.0,219.0,137583.0,27.8,904.0,249.0,137794.0,27.8,372.0,262.0,137975.0,27.8,370.0,247.0,138069.0,27.8,357.0,234.0,138161.0
554543584578,肉,其他,HRL/哈肉联,cb0ce3df76ac1170,中国大陆,黑龙江,哈尔滨,26.5,0.0,0,24.5,67.0,389.0,41851.0,24.5,64.0,388.0,47880.0,25.8,101.0,373.0,54872.0,25.8,63.0,326.0,60093.0,25.8,56.0,278.0,64709.0,25.8,42.0,260.0,68992.0
522970508130,肉,牛肉,张飞,9aeae9150dc2b0e2,中国大陆,四川,成都,64.0,5.0,1,64.0,185.0,1049.0,-1.0,64.0,175.0,991.0,-1.0,64.0,335.0,899.0,-1.0,64.0,173.0,861.0,-1.0,64.0,91.0,800.0,-1.0,64.0,74.0,745.0,-1.0
577617917790,肉,牛肉,牛浪汉,41b9d2e56d8e9827,中国大陆,浙江,湖州,42.0,0.0,1,18.9,9.0,2.0,-1.0,18.9,13.0,5.0,-1.0,18.9,18.0,7.0,-1.0,18.9,14.0,7.0,-1.0,18.9,32.0,12.0,-1.0,18.9,4.0,16.0,-1.0
42265276443,肉,牛肉,鹿渊,7b6ea1af8894a09f,中国大陆,内蒙古自治区,包头,98.0,0.0,0,69.0,57.0,154.0,34109.0,69.0,55.0,172.0,34879.0,69.0,74.0,192.0,35719.0,69.0,89.0,209.0,36287.0,68.0,82.0,266.0,36908.0,68.0,61.0,302.0,37645.0
