ID,电影名,地区,导演,主演,类型,特色,评分,评分标准差
1301578,十一罗汉,美国,刘易斯·迈尔斯通,弗兰克·辛纳特拉|雪莉·麦克雷恩|安吉·迪金森|迪恩·马丁|小萨米·戴维斯,爱情|犯罪|剧情|喜剧|惊悚|音乐|悬疑|冒险|动作,搞笑|经典,7.9,1.2240916182684605
1301617,不一样的天空,美国,拉斯·霍尔斯道姆,约翰尼·德普|莱昂纳多·迪卡普里奥|朱丽叶特·刘易斯|玛丽·斯汀伯根|达尔莱尼·凯茨,爱情|剧情,感人|励志|青春|文艺|经典,8.6,1.4366837335948157
1301715,美国精神病人,美国,玛丽·哈伦,克里斯蒂安·贝尔|贾斯汀·塞洛克斯|乔什·卢卡斯|比尔·萨奇|科洛·塞维尼,剧情|犯罪|惊悚|恐怖|悬疑,经典,7.7,1.2727104471863595
1301726,兵临城下,爱尔兰,让-雅克·阿诺,裘德·洛|艾德·哈里斯|蕾切尔·薇兹|约瑟夫·费因斯|鲍勃·霍斯金斯,爱情|战争|剧情|历史|动作,经典,8.4,1.3473838190853074
1301746,汉尼拔,英国,雷德利·斯科特,安东尼·霍普金斯|朱丽安·摩尔|加里·奥德曼|雷·利奥塔|吉安卡罗·吉安尼尼,剧情|犯罪|惊悚|恐怖|悬疑,经典,8.1,1.3308838461598935
1301753,狮子王,美国,罗杰·阿勒斯|罗伯·明可夫,乔纳森·泰勒·托马斯|马修·布罗德里克|杰瑞米·艾恩斯|詹姆斯·厄尔·琼斯|莫伊拉·凯利,剧情|喜剧|音乐|冒险|歌舞,感人|经典|励志,8.9,1.4638450292470255
1301886,居家男人,美国,布莱特·拉特纳,尼古拉斯·凯奇|蒂娅·里欧妮|唐·钱德尔|杰里米·皮文|绍尔·鲁宾内克,爱情|剧情|喜剧|奇幻|科幻,经典,8.0,1.25797979070506
1301890,浓情巧克力,法国,拉斯·霍尔斯道姆,约翰尼·德普|朱丽叶·比诺什|阿尔弗雷德·莫里纳|凯瑞-安·莫斯|盖南·科内尔,爱情|剧情,经典|文艺,8.0,1.2994858539002536
1302303,原罪,法国,迈克尔·克里斯托弗,安东尼奥·班德拉斯|安吉丽娜·朱莉|托马斯·简|杰克·汤普森|Allison Mackie,爱情|剧情|犯罪|悬疑|情色,经典,7.4,1.2321284031055744
1302467,黑客帝国3：矩阵革命,澳大利亚,莉莉·沃卓斯基|拉娜·沃卓斯基,基努·里维斯|劳伦斯·菲什伯恩|凯瑞-安·莫斯|莫妮卡·贝鲁奇|凯特·宾汉,科幻|动作|剧情,经典,8.5,1.4553476768915639
1302827,人工智能,美国,史蒂文·斯皮尔伯格,海利·乔·奥斯蒙|弗兰西丝·奥康纳|山姆·洛巴兹|杰克·托马斯|裘德·洛,科幻|冒险|剧情,感人|经典,8.6,1.4399252615150633
1302987,珍珠港,美国,Christine Jameson Henry,Bob Ballard|Carl Carson,爱情|战争|剧情|历史|灾难|动作,经典,8.5,1.3428904392498056
1303010,蒙娜丽莎的微笑,美国,迈克·内威尔,朱莉娅·罗伯茨|克斯汀·邓斯特|朱丽娅·斯蒂尔斯|玛吉·吉伦哈尔|金妮弗·古德温,爱情|剧情,女性|励志|青春|文艺|经典,7.7,1.243960961370493
1303037,喜宴,美国,李安,赵文瑄|郎雄|归亚蕾|金素梅|米切尔·利希藤斯坦,爱情|喜剧|剧情|同性,经典,8.8,1.4872090417936252
1303246,狙击电话亭,美国,乔·舒马赫,科林·法瑞尔|基弗·萨瑟兰|福里斯特·惠特克|拉达·米切尔|凯蒂·霍尔姆斯,犯罪|剧情|惊悚|悬疑|动作,经典,7.9,1.326629233513989
1304056,茜茜公主,意大利,克萨韦·施瓦岑贝格尔,克里斯蒂安娜·卡波通蒂|大卫·罗特|马蒂娜·格德克|弗里茨·卡尔|莉西亚·玛格丽塔,爱情|战争|剧情|喜剧|历史|传记,经典|文艺,8.4,1.3383509949112522
1304102,谍影重重,德国,道格·里曼,马特·达蒙|弗朗卡·波滕特|克里斯·库珀|克里夫·欧文|朱丽娅·斯蒂尔斯,剧情|犯罪|惊悚|悬疑|冒险|动作,经典,8.5,1.365474877136564
1304141,黑客帝国2：重装上阵,澳大利亚,莉莉·沃卓斯基|拉娜·沃卓斯基,基努·里维斯|凯瑞-安·莫斯|劳伦斯·菲什伯恩|雨果·维文|莫妮卡·贝鲁奇,科幻|动作|剧情,经典,8.4,1.358642751542931
1304338,决战猩球,美国,J·李·汤普森,罗迪·麦克道尔|克劳德·艾金斯|纳塔丽·特伦黛,战争|剧情|惊悚|科幻|冒险|动作,经典,6.4,1.260934777351927
1304447,记忆碎片,美国,克里斯托弗·诺兰,盖·皮尔斯|凯瑞-安·莫斯|乔·潘托里亚诺|小马克·布恩|拉什·费加,爱情|剧情|犯罪|惊悚|悬疑|科幻|动作,经典,8.5,1.5089142863206026
1304485,穿越时空爱上你,美国,詹姆斯·曼高德,梅格·瑞恩|休·杰克曼|列维·施瑞博尔|布瑞金·梅耶|娜塔莎·雷昂,爱情|剧情|喜剧|奇幻|科幻,经典,7.4,1.2184961485154504
1304585,BJ单身日记,爱尔兰,莎伦·马奎尔,蕾妮·齐薇格|科林·费尔斯|休·格兰特|吉姆·布劳德本特|雪莉·亨德森,爱情|喜剧|剧情,搞笑|女性|经典,7.5,1.2736863306626796
1304608,剑鱼行动,澳大利亚,多米尼克·塞纳,约翰·特拉沃尔塔|休·杰克曼|哈莉·贝瑞|唐·钱德尔|维尼·琼斯,剧情|犯罪|惊悚|悬疑|动作,经典,7.4,1.2300152280244678
